Timestamp,Keyword,Author,Page,Book Title,Quick Quote
10/31/2017 15:29:42,"Changing Technological, Social, Global Context",Dietz,305,brian eno visual music,"the contemporary scenes that Eno gee up in and out of, broadly speaking, was on the cusp of what French sociologists Alain Minc and Simon Nora referred to in 1978 as the ""comp[uterization of society"" --the rise and intersection of networks and computation, stating simple, ""The applications of the computer have developed to such an extent that the economic and social organization of our societ and our way of life may well be transformed as a result"" . This intersection has inarguably changed the world. (the computerization of society: a report to the president of france, cambridge, 1979)... "
10/31/2017 15:40:11,"Changing Technological, Social, Global Context",Dietz,305,Brian Eno Visual Music,"Through his music, his visual art and his ideas, Eno has surfed this computerization of society and surrendered himself to it. In doing so he has contributed enormously to defining it. Part of what he found -and practiced- is that the traditional notions of high art and fine art are not as useful as they once were. ""the traditional sites for art activity seem to be losing their power, while new sites for art are becoming powerful."""
10/31/2017 19:28:39,Intermedia,Higgins,18,"Horizons, the Poetics and Theory of The Intermedia","Much of the best work being produced today seems to fall between media.... the concept of the separation between media arose in the Renaissance. The idea that a painting is made of paint on canvas or that a sculpture should not be painted seems characteristic of the kind of social thought --categorizing and dividing society into nobility with its various subdivisions, untitled gentry, artisans, serfs and landless workers --witch we call the feudal conception of the Great Chain of Being. This essentially mechanistic approach continued to be relevant throughout the first two industrial revolutions, just concluded, and into the present era of automation, which constitutes, in fact, a third industrial revolution."
10/31/2017 19:31:42,Intermedia,Higgins,22,"Horizons, the Poetics and Theory of The Intermedia","Thus the happening developed as an intermedium, an uncharted land that lies between collage, music and theater. It is not governed by rules; each work determines its own medium and form according to its needs. "
10/31/2017 19:36:34,Database,Higgins,50,"Horizons, the Poetics and Theory of The Intermedia","These, then, are the five relatively modern classes of sound poetry: (1) works in an invented language, (2) near-nonsense works, (3) phatic poems, (4) unwritten-out poems, and (5) notated ones. Obviously some of the modern works being generated today still fall within the three classes I described earlier in older sound poetry: (1) folk vaietis, (2) onomatopoetic or mimetic pieces, and (3) nonsensee poetries which trope their own languages."
10/31/2017 19:46:56,New Media Theory,Graham and Cook,3,Rethinking Curating - Art After New Media,"Each of the words in the term new media art can be hotly contested. To start with art, we do not attempt to define it; rather, we point out that the histories in this book relate not only to art, but also to everyday culture, sociology, politics, commerce, design, science, and technology. As described in this book, new media technologys are used for commerce, education, and social communication as well as for art, and the distinctions between the uses of media in these fields is often blurred. The term new media without art usually refers to commercial broadcast forms such as interactive television; some people in fine art thus classify all new media as outside the bounds of art and instead as forms of broadcast. If net media art is classified not as art, but as technology or science, then there are more subcategories to be explored, such as software or data visualization. "
10/31/2017 19:49:49,New Media Theory,Graham and cook,4,Rethinking Curating - Art After New Media,"In particular, we believe that histories of technology need to be understood alongside histories of art if there is to be a bridge between the lands. .. The artworks currently or former known as 'new media art' have amassed around them a varied nomenclature, including art & technology, art/sci, computer art, electronic art, digital art, digital media, intermedia, multimedia, tactical media, emerging media, upstart media, variable media, locative media, immersive art, interactive art, and Things That You Plug In. "
10/31/2017 19:57:28,The Work,Graham and Cook,83,Rethinking Curating - Art After New Media,"As we have seen, new ,edia art isn't necessarily always immaterial, alghtouhg elements of its computability and connectivity can be invisible to the eye. Similiarly, conceptual and systems of art of the 1960s and 1970s posited that the idea was more important than the form, making the medium of the work often immaterial. One of the links among conceptual art practices of the 1960s, networked and systems-based art practices of the 1970s, telecommunications works of the early 1980s, and Internet-based art of the 1990s is the approach to the question of the dissolution of the autonomy of the art object (Lippard 1973). This approach has then, by extension, had to address a critique of the institutions that present art and that thus precondition its autonomy. The striving toward autonomy is, some argue, ever more prevalent, perhaps even a prerequisite, for works of new media, which exist in a technological context shared by other media and entertainment that have educational and other commecial objectives.  "
10/31/2017 20:06:03,Interaction,Graham and Cook,112,Rethinking Curating - Art After New Media,"Interaction: ""acting upon each other"". Interaction might occur between people, between people and machines, between  machines, or between artwork and audience. However, examples of humans and machines or humans and artworks truly acting upon each other are relatively rare. What is popularity termed interaction in there cases is often a more simple 'reaction' -a human presses keys or trigger sensors, and the machine or computer program reacts. ... What computer programs can offer are highly complex, branching, evolving reactions. This reactivity can significantly affect the audience experience in terms of choice, navigation, control, engagement, or .... time and space. ... What  computer-based media cannot offer is the kind of truly symmetrical interaction between human and machine that would approximate a good conversation (verbal, visual or otherwise). No computer program has yet passed the Turing Test for artificial intelligence, where a human judge must decide whether his or her typed dialogue is with a human or a computer."
10/31/2017 20:09:50,Open-Source,Graham and Cook,116,Rethinking Curating - Art After New Media,Curator Caitlin Jones acknowledges that the systems used by new media fundamentally challenge art institutions in some of the same ways that socially engaged practice does --via understandings of open or closed systems and authorship. 
